PR_Number,Time_to_Review,Comments,Review_Comments,Changed_Files,Additions,Deletions,Total_Changes,Is_Merged,User_Type,CI_Status,Replicated_Code,Wont_Fix,Superseded
12927,164.38472222222222,0,0,1,31,0,31,True,regular,pending,False,False,False
12926,164.50194444444443,1,1,2,64,25,89,True,regular,pending,False,False,False
12925,0.9047222222222222,1,0,2,59,0,59,True,regular,pending,False,False,False
12924,5.265,3,0,2,0,0,0,True,regular,pending,False,False,False
12922,31.94638888888889,0,4,3,9,2,11,True,regular,pending,False,False,False
12920,1.2677777777777777,0,0,2,3,4,7,True,regular,pending,False,False,False
12915,2350.0844444444447,10,24,11,579,2,581,True,regular,pending,False,False,False
12914,671.5361111111112,3,0,1,0,4,4,True,regular,pending,False,False,False
12913,0.855,1,0,2,22,0,22,True,regular,pending,False,False,False
12912,0.17694444444444443,4,5,6,3864,0,3864,False,regular,pending,False,False,False
12910,59.626666666666665,0,10,11,137,113,250,True,regular,pending,False,False,False
12909,402.5808333333333,0,4,2,40,7,47,True,regular,pending,False,False,False
12908,8.710555555555555,13,10,4,89,14,103,True,regular,pending,False,False,False
12905,23.294166666666666,0,4,4,76,0,76,True,regular,pending,False,False,False
12904,15.311111111111112,1,0,1,148,0,148,True,regular,pending,False,False,False
12903,23.46472222222222,5,8,4,76,0,76,True,regular,pending,False,False,False
12900,53.78111111111111,4,11,4,29,11,40,True,regular,pending,False,False,False
12899,46.031666666666666,4,0,5,86,131,217,False,regular,pending,False,False,False
12897,805.3133333333334,2,1,2,48,3,51,True,regular,pending,False,False,False
12894,0.7741666666666667,0,2,1,7,4,11,True,regular,pending,False,False,False
12893,75.78833333333333,0,0,2,14,60,74,True,regular,pending,False,False,False
12891,35.23888888888889,1,0,36,747,546,1293,True,regular,pending,False,False,False
12890,3506.1213888888888,3,0,2,137,3,140,False,regular,pending,False,False,False
12889,12.644444444444444,1,0,8,187,240,427,True,regular,pending,False,False,False
12888,5.6241666666666665,1,0,1,1,1,2,True,regular,pending,False,False,False
12887,90.74555555555555,0,3,6,24,6,30,False,regular,pending,False,False,False
